sample,location_reference,distance_from_Sanak_km,SiO2_percent,Sr_ppm,Y_ppm,Sr_Y
S8a,"Sanak pluton (Hill et al., 1981)",3,64.54,201.3,36,5.591666667
S9a,"Sanak pluton (Hill et al., 1981)",3,64.97,191.2,,
S69i,"Sanak pluton (Hill et al., 1981)",3,65.22,187.1,,
S70,"Sanak pluton (Hill et al., 1981)",3,65.45,200.7,35,5.734285714
S20a,"Sanak pluton (Hill et al., 1981)",3,66.01,182.5,,
S7a,"Sanak pluton (Hill et al., 1981)",3,66.18,173,,
S69a,"Sanak pluton (Hill et al., 1981)",3,68.9,143.8,32,4.49375
S7b,"Sanak pluton (Hill et al., 1981)",3,72.74,93,17,5.470588235
N131,"Shumagin pluton (Hill et al., 1981)",203,61.32,231,24,9.625
NIAS12-21C,Nagai Is. (This study),203,63.87085566,360.35,19.8,18.19949495
NIAS12-20M,Nagai Is. (This study),203,66.33791359,318.1,10.85,29.31797235
N58,"Shumagin pluton (Hill et al., 1981)",203,67.78,203.6,,
N186,"Shumagin pluton (Hill et al., 1981)",203,68.03,181.3,46,3.941304348
N172,"Shumagin pluton (Hill et al., 1981)",203,69.6,145.1,,
NIAS12-17,Nagai Is. (This study),203,69.84274539,145.4,27.95,5.202146691
NI12-05,Nagai Is. (This study),203,71.03853249,126.8,28.4,4.464788732
NIAS12-21B,Nagai Is. (This study),203,71.86616881,121.95,33.85,3.602658789
NIAS12-15,Nagai Is. (This study),203,71.95020714,71.85,35.7,2.012605042
NIAS12-14,Nagai Is. (This study),203,73.1193512,81.5,35.35,2.305516266
N20,"Shumagin pluton (Hill et al., 1981)",203,73.24,95.7,35,2.734285714
NIAS12-21,Nagai Is. (This study),203,73.25484347,95.9,36.65,2.616643929
N56,"Shumagin pluton (Hill et al., 1981)",203,73.32,88,,
NIAS12-16,Nagai Is. (This study),203,73.52117633,77.1,37.05,2.08097166
NIAS12-18,Nagai Is. (This study),203,73.92202643,84.4,36.35,2.321870702
N156,"Shumagin pluton (Hill et al., 1981)",203,74.54,70.9,,
NIAS12-20L,Nagai Is. (This study),203,74.55689086,70.8,34.4,2.058139535
N169,"Shumagin pluton (Hill et al., 1981)",203,74.79,68.2,,
N170,"Shumagin pluton (Hill et al., 1981)",203,75.94,40.2,28,1.435714286
01KD75D,"Kodiak Eastern Satellite Group (Ayuso et al., 2009)",688,54.21,158.9,12.2,13.02459016
01PH116A,"Kodiak Central Zone (Ayuso et al., 2009)",688,57.31,249.1,16.1,15.47204969
01KD141A,"Kodiak Eastern Satellite Group (Ayuso et al., 2009)",688,59.74,235.7,36.6,6.43989071
RA02AK07,"Kodiak Central Zone (Ayuso et al., 2009)",688,61.32,218.3,15.1,14.45695364
RA02AK10,"Kodiak Central Zone (Ayuso et al., 2009)",688,61.34,241.5,24.2,9.979338843
01PH121A,"Kodiak Central Zone (Ayuso et al., 2009)",688,61.51,213.3,22.6,9.438053097
RA02AK30,"Kodiak Central Zone (Ayuso et al., 2009)",688,62.4,239,25.7,9.299610895
RA02AK20,"Kodiak Southern Zone (Ayuso et al., 2009)",688,62.52,220.5,24.8,8.891129032
RA02AK12,"Kodiak Central Zone (Ayuso et al., 2009)",688,62.81,258.7,18.3,14.13661202
RA02AK09,"Kodiak Central Zone (Ayuso et al., 2009)",688,62.86,225.1,20.4,11.03431373
RA02AK25,"Kodiak Central Zone (Ayuso et al., 2009)",688,63.06,216.7,23,9.42173913
RA02AK22,"Kodiak Southern Zone (Ayuso et al., 2009)",688,63.45,196.4,25.1,7.824701195
RA02AK06,"Kodiak Central Zone (Ayuso et al., 2009)",688,63.57,203.5,18,11.30555556
RA02AK39A,"Kodiak Central Zone (Ayuso et al., 2009)",688,63.73,193.8,22.3,8.69058296
RA02AK39B,"Kodiak Central Zone (Ayuso et al., 2009)",688,63.73,193.8,22.3,8.69058296
RA02AK26,"Kodiak Central Zone (Ayuso et al., 2009)",688,63.96,198.8,25.4,7.826771654
RA02AK19,"Kodiak Southern Zone (Ayuso et al., 2009)",688,63.99,199.4,20.2,9.871287129
