sample,pluton,method,age_Ma,age_Ma_error,distance
CP13-09,Crawfish,U-Pb zircon,47.3,1.2,2150
X1,Baranof Is.,U-Pb zircon,47.8,,2110
CP13-04,Crawfish,U-Pb zircon,48,1,2150
CP13-03,Crawfish,U-Pb zircon,48.6,1.2,2150
CP13-05,Crawfish,U-Pb zircon,50.5,0.9,2150
CP13-07,Crawfish,U-Pb zircon,51.2,0.9,2150
RF16-19A,Mt. Stamy,U-Pb zircon,51.41944999,0.7,1685
X2,Redfish Bay,U-Pb zircon,51.6,0.3,2198
HL19-20,Novatak,U-Pb zircon,52,0.5,1770
KP13-01,Krestof Is.,U-Pb zircon,52.1,1,2085
CP13-01,Crawfish,U-Pb zircon,52.2,0.9,2150
CP13-08D,Crawfish,U-Pb zircon,52.7,0.8,2150
RF16-05A,Nunatak,U-Pb zircon,52.78244013,0.6,1705
RF16-01,Mt. Draper,U-Pb zircon,53.05776533,0.7,1705
CP13-13,Crawfish,U-Pb zircon,53.1,0.8,2150
RF16-32A,Mt. Draper,U-Pb zircon,53.91524449,0.8,1705
RF16-30A,Mt. Draper,U-Pb zircon,53.99880068,0.6,1705
X3,Western CMC,U-Pb zircon,54,,1410
TI10-02,Sheep Bay,U-Pb zircon,53.9,0.8,1290
CV14-07,McKinley Peak,U-Pb zircon,54.47917704,1.7,1360
CV14-08,Sheep Bay,U-Pb zircon,54.83273897,0.7,1290
X4,Nuka,U-Pb zircon,56,0.5,970
RB14-01,Hive Island,U-Pb zircon,56.39268741,1.5,1040
RB13-04,Aialik,U-Pb zircon,56.49023388,1,1010
X5,Kodiak Is. ,U-Pb zircon,58.4,0.2,732
X6,Kodiak Is. ,U-Pb zircon,58.5,0.1,727
X7,Kodiak Is. ,U-Pb zircon,58.9,0.2,717
X8,Kodiak Is. ,U-Pb zircon,59,0.3,664
X9,Kodiak Is. ,U-Pb zircon,59.1,0.2,642
X10,Kodiak Is. ,U-Pb zircon,59.2,0.2,647
X11,Semidi Is.,U-Pb zircon,60.1,0.2,412
X12,Nagai Is.,U-Pb zircon,61.1,0.3,203
NIAS12-21,Nagai Is.,U-Pb zircon,61.67563083,0.7,203
NI12-05,Nagai Is.,U-Pb zircon,62.6259835,0.7,203
SI12-02,Sanak Is.,U-Pb zircon,63.10376129,0.9,3
