zircon_sample,rock_sample,pluton,age_Ma,e_Hf_t,e_Hf_t_error
SI12-02-19R,SI12-02,Sanak Island,61.6,8.345074387,1.54163895
SI12-02-7R,SI12-02,Sanak Island,62.5,8.451882884,1.424888469
SI12-02-3R,SI12-02,Sanak Island,62.8,9.925580648,1.474262537
SI12-02-17R,SI12-02,Sanak Island,62.8,8.756666011,1.772787585
SI12-02-10R,SI12-02,Sanak Island,62.9,10.66079965,1.54031214
SI12-02-6R,SI12-02,Sanak Island,63,8.404433778,1.307611607
SI12-02-20R,SI12-02,Sanak Island,63,14.2426211,1.277580596
SI12-02-8R,SI12-02,Sanak Island,63.1,6.65246024,1.38750126
SI12-02-16R,SI12-02,Sanak Island,63.2,8.620152703,1.442035992
SI12-02-13R,SI12-02,Sanak Island,63.2,5.348590152,0.981252354
SI12-02-14R,SI12-02,Sanak Island,63.5,9.476414633,1.415371124
SI12-02-18R,SI12-02,Sanak Island,63.5,11.29247139,1.416812079
SI12-02-15R,SI12-02,Sanak Island,63.7,11.24591145,1.201163999
SI12-02-5R,SI12-02,Sanak Island,64,10.57099356,1.285998447
SI12-02-22R,SI12-02,Sanak Island,65.3,9.561749489,0.98225724
NIAS12-21-19,NIAS-12-21,Nagai Island,60.5,6.024872716,1.678240632
NIAS12-21-18,NIAS-12-21,Nagai Island,61,6.747877627,1.397729115
NIAS12-21-12,NIAS-12-21,Nagai Island,61.2,7.249167843,1.078830981
NIAS12-21-20,NIAS-12-21,Nagai Island,61.4,11.22891631,1.565944582
NIAS12-21-13,NIAS-12-21,Nagai Island,61.4,10.00630584,1.357466543
NIAS12-21-5C,NIAS-12-21,Nagai Island,61.5,9.208598772,1.438067868
NIAS12-21-3R,NIAS-12-21,Nagai Island,61.6,12.56182598,1.503316209
NIAS12-21-9,NIAS-12-21,Nagai Island,61.8,8.987334838,1.180567073
NIAS12-21-7,NIAS-12-21,Nagai Island,61.8,6.169200065,1.526329321
NIAS12-21-15,NIAS-12-21,Nagai Island,61.8,8.22974832,1.241167797
NIAS12-21-1R,NIAS-12-21,Nagai Island,62.2,8.184256203,1.084216134
NIAS12-21-2,NIAS-12-21,Nagai Island,62.3,6.689311404,1.696387429
NIAS12-21-14,NIAS-12-21,Nagai Island,62.3,12.52029073,1.426368735
NIAS12-21-16,NIAS-12-21,Nagai Island,62.4,8.096977725,1.497394293
NIAS12-21-10,NIAS-12-21,Nagai Island,63.5,11.36723946,1.742795661
RB13-04-11,RB13-04,Aialik Peninsula,54.1,6.603703009,0.80937526
RB13-04-27,RB13-04,Aialik Peninsula,54.7,4.625943791,0.941226689
RB13-04-19,RB13-04,Aialik Peninsula,54.8,4.710826876,1.036994391
RB13-04-2,RB13-04,Aialik Peninsula,55.3,2.188741343,1.123320226
RB13-04-17,RB13-04,Aialik Peninsula,55.4,6.494114826,1.083158638
RB13-04-18,RB13-04,Aialik Peninsula,55.8,5.889484244,0.955468224
RB13-04-22,RB13-04,Aialik Peninsula,55.8,5.78749111,1.192586842
RB13-04-1,RB13-04,Aialik Peninsula,55.9,6.861322531,0.997851873
RB13-04-15,RB13-04,Aialik Peninsula,56.1,9.221675742,1.143919387
RB13-04-10,RB13-04,Aialik Peninsula,56.2,6.293269426,0.902770608
RB13-04-14,RB13-04,Aialik Peninsula,56.3,5.415705227,0.848425324
RB13-04-26,RB13-04,Aialik Peninsula,56.3,3.503125437,0.873167524
RB13-04-9,RB13-04,Aialik Peninsula,56.6,4.39340871,1.126089095
RB13-04-23,RB13-04,Aialik Peninsula,58.4,7.683668913,1.119140575
RB13-04-8,RB13-04,Aialik Peninsula,59.1,9.011860679,0.992832519
RB14-01-26,RB14-01,Hive Island,53.8,2.556105515,1.095260789
RB14-01-9,RB14-01,Hive Island,55.2,12.52492243,1.097416921
RB14-01-1,RB14-01,Hive Island,55.7,4.629813631,0.920426057
RB14-01-22,RB14-01,Hive Island,56.1,4.873509016,0.998668988
RB14-01-18,RB14-01,Hive Island,56.1,3.9427937,0.963750201
RB14-01-30,RB14-01,Hive Island,56.5,7.815122513,0.973153404
RB14-01-4,RB14-01,Hive Island,56.6,2.891606721,1.221944578
RB14-01-5,RB14-01,Hive Island,56.7,4.952672952,0.990976524
RB14-01-25,RB14-01,Hive Island,56.9,2.497078271,0.872416864
RB14-01-11,RB14-01,Hive Island,57,5.219431961,0.979750123
RB14-01-8C,RB14-01,Hive Island,57.2,7.924287705,1.307395351
RB14-01-28C,RB14-01,Hive Island,57.2,3.700588953,1.063440973
RB14-01-2,RB14-01,Hive Island,57.3,9.039068944,1.010361427
RB14-01-13R,RB14-01,Hive Island,57.7,3.908240689,1.001464346
RB14-01-12,RB14-01,Hive Island,57.9,2.500523058,1.012366772
CV14-08-17,CV14-08,Sheep Bay,53.7,5.322809609,1.199006818
CV14-08-23,CV14-08,Sheep Bay,54.3,2.802885444,0.65959482
CV14-08-4,CV14-08,Sheep Bay,54.6,5.828157374,1.410477122
CV14-08-12,CV14-08,Sheep Bay,54.6,4.773678108,0.919840048
CV14-08-18,CV14-08,Sheep Bay,54.6,4.289307164,1.201321534
CV14-08-26,CV14-08,Sheep Bay,54.7,3.420061864,1.008420194
CV14-08-16,CV14-08,Sheep Bay,54.9,4.021416941,1.62556816
CV14-08-1,CV14-08,Sheep Bay,55,3.003271177,0.857738611
CV14-08-10,CV14-08,Sheep Bay,55,6.508459237,0.89949331
CV14-08-6,CV14-08,Sheep Bay,55.1,3.890112914,1.511223223
CV14-08-27,CV14-08,Sheep Bay,55.2,4.539043563,1.265642758
CV14-08-21,CV14-08,Sheep Bay,55.3,9.528451629,1.232756752
CV14-08-8,CV14-08,Sheep Bay,55.8,4.836960623,1.212428295
CV14-08-9,CV14-08,Sheep Bay,55.9,5.294485158,0.652753656
CV14-08-7,CV14-08,Sheep Bay,56.1,5.562395821,0.694441345
CV14-07-2,CV14-07,McKinley Peak,50.6,12.39405899,1.101346747
CV14-07-9,CV14-07,McKinley Peak,51.8,4.512257022,0.972770412
CV14-07-20,CV14-07,McKinley Peak,52.1,4.61854711,1.178149673
CV14-07-28,CV14-07,McKinley Peak,52.2,7.442508151,1.016617901
CV14-07-17,CV14-07,McKinley Peak,52.4,8.847451156,1.081300461
CV14-07-11,CV14-07,McKinley Peak,52.6,8.040170421,0.994055843
CV14-07-22,CV14-07,McKinley Peak,53.2,6.764738796,0.81427939
CV14-07-18,CV14-07,McKinley Peak,53.5,7.392617825,1.020661875
CV14-07-26,CV14-07,McKinley Peak,53.9,7.353659957,1.188148394
CV14-07-12,CV14-07,McKinley Peak,54.1,7.96359047,1.221467471
CV14-07-7R,CV14-07,McKinley Peak,54.3,10.54577474,1.200625869
CV14-07-16R,CV14-07,McKinley Peak,54.7,8.539773498,0.984095818
CV14-07-13,CV14-07,McKinley Peak,57.1,1.678635844,1.042833979
CV14-07-21,CV14-07,McKinley Peak,57.4,2.605085809,1.244559935
CV14-07-24,CV14-07,McKinley Peak,63.3,10.23227848,0.783589154
RF16-19A-03,RF16-19A,Mt Stamy,50.3,7.848667168,0.871981102
RF16-19A-23,RF16-19A,Mt Stamy,50.9,7.423121369,1.231357182
RF16-19A-28,RF16-19A,Mt Stamy,50.9,5.775462386,0.894703232
RF16-19A-02,RF16-19A,Mt Stamy,51.3,7.135494561,1.041888357
RF16-19A-12,RF16-19A,Mt Stamy,51.5,5.619996783,1.261817506
RF16-19A-19,RF16-19A,Mt Stamy,51.5,7.118019581,1.1250375
RF16-19A-09,RF16-19A,Mt Stamy,51.6,7.527866272,1.344834885
RF16-19A-21,RF16-19A,Mt Stamy,51.7,6.324547455,0.827057268
RF16-19A-14,RF16-19A,Mt Stamy,51.7,5.159434842,0.918275006
RF16-19A-13,RF16-19A,Mt Stamy,51.9,6.211721403,0.698920459
RF16-19A-34,RF16-19A,Mt Stamy,52,8.359267283,1.045503472
RF16-19A-06,RF16-19A,Mt Stamy,52.1,8.961336244,0.689383237
RF16-19A-04,RF16-19A,Mt Stamy,52.2,5.102290643,0.8575279
RF16-19A-22,RF16-19A,Mt Stamy,51.6,5.312716584,1.295315453
RF16-05A-43,RF16-05A,Mt Draper,51.5,6.618447703,0.88155974
RF16-05A-65,RF16-05A,Mt Draper,51.7,5.358244353,0.877029665
RF16-05A-48,RF16-05A,Mt Draper,52,8.246491612,1.218907882
RF16-05A-41,RF16-05A,Mt Draper,52.7,6.456714421,1.076629985
RF16-05A-51,RF16-05A,Mt Draper,52.8,6.715989853,1.3643918
RF16-05A-57,RF16-05A,Mt Draper,52.9,4.905656588,0.816113669
RF16-05A-56,RF16-05A,Mt Draper,53,4.671996189,0.931543525
RF16-05A-52,RF16-05A,Mt Draper,53.1,1.761400741,0.916489845
RF16-05A-49,RF16-05A,Mt Draper,53.2,4.264687608,0.971716716
RF16-05A-36,RF16-05A,Mt Draper,53.2,3.628901467,0.993550999
RF16-05A-60,RF16-05A,Mt Draper,53.7,6.653159898,0.845314709
RF16-05A-55,RF16-05A,Mt Draper,53.8,3.572392237,1.160284221
RF16-30A-7,RF16-30A,Mt Draper,53.1,6.005460967,0.983026041
