zircon_sample,rock_sample,formation,location,age_Ma_plutons,age_Ma_plutons_error,age_Ma_seds,e_Hf_50Ma,e_Hf_50Ma_error
NI12-04-105,NI12-04,Shumagin formation,Shumagin,62.15080717,0.982593704,70,6.637739774,1.353321885
NI12-04-50,NI12-04,Shumagin formation,Shumagin,62.15080717,0.982593704,73,8.215215594,0.937520437
NI12-04-112,NI12-04,Shumagin formation,Shumagin,62.15080717,0.982593704,73,8.677468857,1.046608205
NI12-04-26,NI12-04,Shumagin formation,Shumagin,62.15080717,0.982593704,73,6.812996355,0.954901872
NI12-04-97,NI12-04,Shumagin formation,Shumagin,62.15080717,0.982593704,74,9.577840684,1.096954514
NI12-04-11,NI12-04,Shumagin formation,Shumagin,62.15080717,0.982593704,74,10.04022897,1.068102001
NI12-04-17,NI12-04,Shumagin formation,Shumagin,62.15080717,0.982593704,89,10.09160557,1.305069364
NI12-04-93,NI12-04,Shumagin formation,Shumagin,62.15080717,0.982593704,89,10.86808113,1.275430518
NI12-04-117,NI12-04,Shumagin formation,Shumagin,62.15080717,0.982593704,91,4.969468241,1.373860409
NI12-04-83,NI12-04,Shumagin formation,Shumagin,62.15080717,0.982593704,94,8.864907646,0.752088838
NI12-04-40,NI12-04,Shumagin formation,Shumagin,62.15080717,0.982593704,97,7.260530123,0.939920038
NI12-04-24,NI12-04,Shumagin formation,Shumagin,62.15080717,0.982593704,149,9.319713532,1.16333438
NI12-04-77,NI12-04,Shumagin formation,Shumagin,62.15080717,0.982593704,150,5.773533623,0.834615406
NI12-04-78,NI12-04,Shumagin formation,Shumagin,62.15080717,0.982593704,160,7.813372263,1.281516086
NI12-04-35,NI12-04,Shumagin formation,Shumagin,62.15080717,0.982593704,168,3.152614016,1.0642946
NI12-04-53,NI12-04,Shumagin formation,Shumagin,62.15080717,0.982593704,170,2.450656388,0.971844397
NI12-04-74,NI12-04,Shumagin formation,Shumagin,62.15080717,0.982593704,173,5.141743585,0.9199807
NI12-04-72,NI12-04,Shumagin formation,Shumagin,62.15080717,0.982593704,174,0.565777538,1.238976241
NI12-04-51,NI12-04,Shumagin formation,Shumagin,62.15080717,0.982593704,186,4.483821139,0.932127699
NI12-04-103,NI12-04,Shumagin formation,Shumagin,62.15080717,0.982593704,194,7.384535984,1.138806081
NI12-11-44,NI12-11,Shumagin formation,Shumagin,62.15080717,0.982593704,72,5.465104655,1.228198975
NI12-11-01,NI12-11,Shumagin formation,Shumagin,62.15080717,0.982593704,72,4.214439514,1.390556803
NI12-11-29,NI12-11,Shumagin formation,Shumagin,62.15080717,0.982593704,73,2.898283925,1.054023802
NI12-11-97,NI12-11,Shumagin formation,Shumagin,62.15080717,0.982593704,74,8.755824999,1.025337931
NI12-11-39,NI12-11,Shumagin formation,Shumagin,62.15080717,0.982593704,75,5.757827663,0.793807228
NI12-11-31,NI12-11,Shumagin formation,Shumagin,62.15080717,0.982593704,80,7.760386142,0.976398452
NI12-11-35,NI12-11,Shumagin formation,Shumagin,62.15080717,0.982593704,83,0.205436607,1.017221781
NI12-11-45,NI12-11,Shumagin formation,Shumagin,62.15080717,0.982593704,87,4.347041995,1.211268693
NI12-11-98,NI12-11,Shumagin formation,Shumagin,62.15080717,0.982593704,88,2.892701209,1.082990769
NI12-11-56,NI12-11,Shumagin formation,Shumagin,62.15080717,0.982593704,97,5.178313468,1.196260555
NI12-11-36,NI12-11,Shumagin formation,Shumagin,62.15080717,0.982593704,154,7.684635234,1.137524161
NI12-11-100,NI12-11,Shumagin formation,Shumagin,62.15080717,0.982593704,156,3.820195396,1.066546605
NI12-11-03,NI12-11,Shumagin formation,Shumagin,62.15080717,0.982593704,164,-4.33368947,1.339040208
NI12-11-42,NI12-11,Shumagin formation,Shumagin,62.15080717,0.982593704,167,1.632855056,1.056706132
NI12-11-20,NI12-11,Shumagin formation,Shumagin,62.15080717,0.982593704,168,1.396952433,1.193473476
NI12-11-52,NI12-11,Shumagin formation,Shumagin,62.15080717,0.982593704,172,4.564774377,1.313707952
NI12-11-80,NI12-11,Shumagin formation,Shumagin,62.15080717,0.982593704,176,5.485953528,1.081790486
NI12-11-49,NI12-11,Shumagin formation,Shumagin,62.15080717,0.982593704,177,3.477238931,1.451179764
NI12-11-96,NI12-11,Shumagin formation,Shumagin,62.15080717,0.982593704,181,5.744031954,1.171906708
